PID: 19453, Name: plugin-container, CPU: 1.40%, Memory: 156172288 bytes
PID: 20190, Name: ssh, CPU: 0.07%, Memory: 1359872 bytes
PID: 20335, Name: plugin-container, CPU: 0.07%, Memory: 38158336 bytes
PID: 21277, Name: plugin-container, CPU: 0.48%, Memory: 75857920 bytes
PID: 21828, Name: softwareupdated, CPU: 0.02%, Memory: 13926400 bytes
PID: 21829, Name: suhelperd, CPU: 0.00%, Memory: 5914624 bytes
PID: 21869, Name: com.apple.hiservices-xpcservice, CPU: 0.01%, Memory: 2949120 bytes
PID: 21949, Name: Core Audio Driver (MSTeamsAudioDevice.driver), CPU: 0.01%, Memory: 6029312 bytes
PID: 22104, Name: containermanagerd, CPU: 0.04%, Memory: 4554752 bytes
PID: 22247, Name: secinitd, CPU: 0.01%, Memory: 7094272 bytes
PID: 22257, Name: sandboxd, CPU: 0.01%, Memory: 4898816 bytes
PID: 23070, Name: Code - Insiders Helper (Plugin), CPU: 0.02%, Memory: 10158080 bytes
PID: 24212, Name: IMAutomaticHistoryDeletionAgent, CPU: 0.00%, Memory: 3604480 bytes
PID: 24932, Name: ssh-agent, CPU: 0.00%, Memory: 917504 bytes
PID: 25933, Name: plugin-container, CPU: 0.08%, Memory: 70549504 bytes
PID: 26512, Name: plugin-container, CPU: 0.05%, Memory: 49233920 bytes
PID: 29471, Name: Slack, CPU: 0.21%, Memory: 68173824 bytes
PID: 29489, Name: chrome_crashpad_handler, CPU: 0.00%, Memory: 1949696 bytes
PID: 29491, Name: Slack Helper (GPU), CPU: 0.24%, Memory: 26607616 bytes
PID: 29492, Name: Slack Helper, CPU: 0.05%, Memory: 20021248 bytes
PID: 29495, Name: Slack Helper (Renderer), CPU: 0.40%, Memory: 90898432 bytes
PID: 29513, Name: Slack Helper, CPU: 0.01%, Memory: 8093696 bytes
PID: 29514, Name: Slack Helper (Plugin), CPU: 0.01%, Memory: 9273344 bytes
PID: 29589, Name: PrinterInstallerClient, CPU: 0.09%, Memory: 5332992 bytes
PID: 29679, Name: mobileassetd, CPU: 0.18%, Memory: 15024128 bytes
PID: 29839, Name: XprotectService, CPU: 0.11%, Memory: 5603328 bytes
PID: 30642, Name: pluggablesvc, CPU: 12.50%, Memory: 27082752 bytes
PID: 30688, Name: USBAgent, CPU: 0.00%, Memory: 2195456 bytes
PID: 30892, Name: Brave Browser Helper (Renderer), CPU: 0.40%, Memory: 100450304 bytes
PID: 30893, Name: Brave Browser Helper (Renderer), CPU: 0.02%, Memory: 83673088 bytes
PID: 31021, Name: bash, CPU: 0.00%, Memory: 262144 bytes
PID: 31025, Name: PrinterInstallerClientService, CPU: 1.77%, Memory: 13336576 bytes
PID: 31248, Name: cupsd, CPU: 0.52%, Memory: 6586368 bytes
PID: 31582, Name: plugin-container, CPU: 0.95%, Memory: 392429568 bytes
PID: 31741, Name: PrinterInstallerClientService, CPU: 0.00%, Memory: 20480 bytes
PID: 31966, Name: plugin-container, CPU: 0.02%, Memory: 53641216 bytes
PID: 33002, Name: nsAuxiliarySvc, CPU: 0.00%, Memory: 3309568 bytes
PID: 33067, Name: com.netskope.client.Netskope-Client.NetskopeClientMacAppProxy, CPU: 0.86%, Memory: 39370752 bytes
PID: 34061, Name: keyboardservicesd, CPU: 0.02%, Memory: 10665984 bytes
PID: 35822, Name: Code - Insiders Helper (Renderer), CPU: 9.37%, Memory: 235585536 bytes
PID: 35902, Name: Brave Browser Helper (Renderer), CPU: 1.74%, Memory: 273448960 bytes
PID: 35917, Name: Brave Browser Helper (Renderer), CPU: 0.18%, Memory: 71368704 bytes
PID: 35958, Name: Code - Insiders Helper, CPU: 0.07%, Memory: 43319296 bytes
PID: 35959, Name: Code - Insiders Helper (Plugin), CPU: 0.82%, Memory: 72187904 bytes
PID: 36106, Name: fish, CPU: 0.07%, Memory: 2015232 bytes
PID: 40012, Name: mdworker_shared, CPU: 0.08%, Memory: 16023552 bytes
PID: 40433, Name: Core Audio Driver (NDIAudioOut.driver), CPU: 0.06%, Memory: 4849664 bytes
PID: 40753, Name: mdworker_shared, CPU: 0.08%, Memory: 15990784 bytes
PID: 40754, Name: mdworker_shared, CPU: 0.12%, Memory: 16089088 bytes
PID: 40755, Name: mdworker_shared, CPU: 0.12%, Memory: 16105472 bytes
PID: 41309, Name: ViewBridgeAuxiliary, CPU: 0.06%, Memory: 8142848 bytes
PID: 42627, Name: FXService, CPU: 0.00%, Memory: 0 bytes
PID: 42854, Name: PredictService, CPU: 0.00%, Memory: 0 bytes
PID: 42978, Name: PowerChime, CPU: 0.00%, Memory: 4014080 bytes
PID: 43128, Name: Keychain Circle Notification, CPU: 0.27%, Memory: 20430848 bytes
PID: 43145, Name: wifip2pd, CPU: 0.26%, Memory: 12238848 bytes
PID: 43159, Name: Core Audio Driver (NDIAudio.driver), CPU: 0.19%, Memory: 5292032 bytes
PID: 43161, Name: com.apple.geod, CPU: 0.84%, Memory: 13680640 bytes
PID: 43162, Name: com.apple.geod, CPU: 0.93%, Memory: 13058048 bytes
PID: 43163, Name: com.apple.geod, CPU: 0.88%, Memory: 12926976 bytes
PID: 43164, Name: secinitd, CPU: 0.10%, Memory: 4014080 bytes
PID: 43165, Name: secinitd, CPU: 0.12%, Memory: 4014080 bytes
